CARBOHYDRATES_G,CALCIUM_DV,SODIUM_MG,CALCIUM_MG,ITEM,SUGARS_G,VITAMINK_MCG,IRON_MG,TOTALFAT_G,VITAMINE_MG,VITAMINB6_MG,CARBOHYDRATES_DV,CALORIES,SATURATEDFAT_G,WEIGHT,SATURATEDFAT_DV,DIETARYFIBER_DV,SELENIUM_MCG,IODINE_MCG,VITAMINB12_MCG,CHOLESTEROL_MG,THIAMIN_MG,FOLICACID_MCG,VITAMINC_DV,DIETARYFIBER_G,RATION,PHOSPHOROUS_MG,MAGNESIUM_MG,SODIUM_DV,POTASSIUM_MG,VITAMINA_DV,IRON_DV,NIACIN_MG,TOTALFAT_DV,MENU,RIBOFLAVIN_MG,PROTEIN_G,TRANSFAT_G,CHOLESTEROL_DV,VITAMINC_MG,VITAMINA_IU,ZINC_MG,ITEMTYPE
1.09,0,2.35,3.42,"Coffee>Soluble>Freeze Dried",0,,.05,.01,.01,0,0,5.8,0,1.7,0,.02,.05,,0,0,0,.12,0,.38,MRE32,5.46,6.46,0,57.46,0,0,.69,0,MENU Groups,.01,.36,0,0,.02,0,.01,"MRE 32>Accessory Packet A"
2.08,0,8.5,.5,"Creamer>Non-Dairy>Dry",0,,.02,1.46,0,0,.01,21,0,4,0,0,,,0,0,0,0,0,0,MRE32,18,0,0,41,0,0,0,.02,MENU Groups,0,.1,.5,0,0,0,0,"MRE 32>Accessory Packet A"
4,0,0,0,Sugar,0,,0,0,0,0,.01,15,,4,,,,,,0,0,0,0,,MRE32,0,0,0,0,,0,0,0,MENU Groups,0,0,,0,0,,0,"MRE 32>Accessory Packet A"
2.27,0,4.12,1.14,"Group Average - MRE 32>Accessory Packet A",0,0,.02,.5,0,0,.01,13.6,0,3.23,0,.01,.05,0,0,0,0,.06,0,.19,MRE32,2.73,3.23,0,28.73,0,0,.35,.01,MENU Groups,0,.12,.25,0,.01,0,0,"MRE 32>Accessory Packet A"
2.75,.01,23.55,9.57,"Beverage Base>Sugar Free",0,0,.02,.02,.02,0,.01,11.3,0,3.2,0,0,.1,0,0,0,0,.19,0,.03,MRE32,4.7,.15,.01,64,0,0,0,0,MENU Groups,0,.07,0,0,.04,0,.01,"MRE 32>Accessory Packet B"
2,,,,"Chewing Gum>Xylitol",0,,,,,,.01,,,3.2,,,,,,,,,,,MRE32,,,,,,,,,MENU Groups,,,,,,,,"MRE 32>Accessory Packet B"
2.37,.01,23.55,9.57,"Group Average - MRE 32>Accessory Packet B",0,0,.02,.02,.02,0,.01,11.3,0,3.2,0,0,.1,0,0,0,0,.19,0,.03,MRE32,4.7,.15,.01,64,0,0,0,0,MENU Groups,0,.07,0,0,.04,0,.01,"MRE 32>Accessory Packet B"
2,,,,"Chewing Gum>Xylitol",0,,,,,,.01,,,3.2,,,,,,,,,,,MRE32,,,,,,,,,MENU Groups,,,,,,,,"MRE 32>Accessory Packet C"
1.09,0,2.35,3.42,"Coffee>Soluble>Freeze Dried",0,,.05,.01,.01,0,0,5.8,0,1.7,0,.02,.05,,0,0,0,.12,0,.38,MRE32,5.46,6.46,0,57.46,0,0,.69,0,MENU Groups,.01,.36,0,0,.02,0,.01,"MRE 32>Accessory Packet C"
2.08,0,8.5,.5,"Creamer>Non-Dairy>Dry",0,,.02,1.46,0,0,.01,21,0,4,0,0,,,0,0,0,0,0,0,MRE32,18,0,0,41,0,0,0,.02,MENU Groups,0,.1,.5,0,0,0,0,"MRE 32>Accessory Packet C"
0,,,,Sucralose,0,,,0,,,0,0,,1,,,,,,0,,,,,MRE32,,,,,,,,0,MENU Groups,,0,,0,,,,"MRE 32>Accessory Packet C"
1.27,0,6.17,1.71,"Group Average - MRE 32>Accessory Packet C",0,0,.03,.5,.01,0,0,8.6,0,2.48,0,.01,.05,0,0,0,0,.12,0,.19,MRE32,5.46,6.46,0,57.46,0,0,.69,.01,MENU Groups,.01,.12,.25,0,.01,0,.01,"MRE 32>Accessory Packet C"
689.8,0,3296.53,1513.15,,0,9.66,20.89,146.2,28.22,2.19,0,4315.4,43.26,1122.88,0,0,98.13,15.58,6.06,83.42,1.89,553.02,0,28.79,MRE32,2245.88,385.06,0,3586.92,0,0,24.33,0,MENU Groups,3.66,73.21,14.56,0,284.4,3095.06,12.27,Total
